"filename", "language", "C++", "Markdown", "Python", "comment", "blank", "total"
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/include/ToolManager/ToolManagerO.hpp", "C++", 0, 0, 0, 231, 63, 294
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/include/ToolManager/ToolPalette.hpp", "C++", 32, 0, 0, 0, 11, 43
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/include/Widgets/ToolButton.hpp", "C++", 41, 0, 0, 0, 19, 60
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/include/Widgets/ToolCanvas.hpp", "C++", 0, 0, 0, 80, 20, 100
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/include/Widgets/ToolEditor.hpp", "C++", 0, 0, 0, 30, 13, 43
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/include/Widgets/ToolHorizontalScrollBar.hpp", "C++", 0, 0, 0, 29, 14, 43
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Event/ToolEvent.cpp", "C++", 48, 0, 0, 0, 14, 62
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Options/ToolColor.cpp", "C++", 4, 0, 0, 0, 2, 6
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Options/ToolImage.cpp", "C++", 60, 0, 0, 4, 20, 84
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/PluginFunctions/plugin_function.cpp", "C++", 5, 0, 0, 5, 4, 14
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/ToolManager/ToolManager.cpp", "C++", 50, 0, 0, 40, 23, 113
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/ToolManager/ToolManagerO.cpp", "C++", 0, 0, 0, 4, 2, 6
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Widgets/ToolButton.cpp", "C++", 120, 0, 0, 2, 26, 148
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Widgets/ToolEditor.cpp", "C++", 0, 0, 0, 61, 16, 77
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/ToolLibrary/src/Widgets/ToolHorizontalScrollBar.cpp", "C++", 0, 0, 0, 95, 22, 117
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/HistoryManager/HistoryManager.hpp", "C++", 120, 0, 0, 0, 31, 151
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/HistoryManager/HistoryWindow.hpp", "C++", 0, 0, 0, 128, 29, 157
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/HistoryManager/NodeButton.hpp", "C++", 20, 0, 0, 0, 4, 24
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Widgets/Canvas.hpp", "C++", 37, 0, 0, 1, 20, 58
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Widgets/CanvasO.hpp", "C++", 0, 0, 0, 45, 27, 72
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Widgets/HSVpalette.hpp", "C++", 25, 0, 0, 0, 14, 39
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Widgets/Surface.hpp", "C++", 30, 0, 0, 1, 13, 44
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/ColorPicker.hpp", "C++", 33, 0, 0, 0, 19, 52
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/HSVwindow.hpp", "C++", 36, 0, 0, 0, 18, 54
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/OpenWindow.hpp", "C++", 25, 0, 0, 0, 14, 39
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/SaveWindow.hpp", "C++", 27, 0, 0, 0, 13, 40
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/main.cpp", "C++", 9, 0, 0, 3, 3, 15
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/Canvas.cpp", "C++", 130, 0, 0, 31, 54, 215
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/CanvasO.cpp", "C++", 0, 0, 0, 187, 68, 255
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/HSVpalette.cpp", "C++", 88, 0, 0, 2, 18, 108
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/ColorPicker.cpp", "C++", 100, 0, 0, 23, 23, 146
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/HSVwindow.cpp", "C++", 147, 0, 0, 0, 32, 179
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/OpenWindow.cpp", "C++", 60, 0, 0, 0, 13, 73
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/SaveWindow.cpp", "C++", 59, 0, 0, 0, 14, 73
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/GraphEditor.hpp", "C++", 17, 0, 0, 0, 9, 26
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/create_color_picker.cpp", "C++", 15, 0, 0, 0, 7, 22
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/create_file_combobox.cpp", "C++", 25, 0, 0, 0, 10, 35
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/create_windows.cpp", "C++", 53, 0, 0, 2, 19, 74
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/main.cpp", "C++", 15, 0, 0, 0, 8, 23
"Total", "-", 1564, 1, 285, 1014, 890, 3754
