"filename", "language", "C++", "Python", "Markdown", "comment", "blank", "total"
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/ColorPicker.hpp", "C++", 38, 0, 0, 0, 15, 53
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/HSVwindow.hpp", "C++", 37, 0, 0, 0, 18, 55
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/OpenWindow.hpp", "C++", 25, 0, 0, 0, 14, 39
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/include/Windows/SaveWindow.hpp", "C++", 27, 0, 0, 0, 13, 40
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/Canvas.cpp", "C++", 186, 0, 0, 2, 59, 247
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/CanvasO.cpp", "C++", 0, 0, 0, 187, 68, 255
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Widgets/HSVpalette.cpp", "C++", 148, 0, 0, 0, 33, 181
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/ColorPicker.cpp", "C++", 125, 0, 0, 0, 24, 149
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/HSVwindow.cpp", "C++", 132, 0, 0, 0, 27, 159
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/OpenWindow.cpp", "C++", 60, 0, 0, 0, 13, 73
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/Custom_Library/src/Windows/SaveWindow.cpp", "C++", 59, 0, 0, 0, 14, 73
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/GraphEditor.hpp", "C++", 17, 0, 0, 0, 9, 26
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/create_file_combobox.cpp", "C++", 25, 0, 0, 0, 10, 35
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/GraphEditor/create_windows.cpp", "C++", 54, 0, 0, 0, 19, 73
"/home/leveophan/MyProjects/SuperProject/GraphicEditor/src/main.cpp", "C++", 24, 0, 0, 3, 14, 41
"Total", "-", 2050, 285, 1, 742, 911, 3989
